order_number,customer_name,address,city,country,contact_fullname,dealsize
10107,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu Kwai,Small
10121,FunGiftIdeas.com,59 rue de l'Abbaye,Reims,France,Henriot Paul,Small
10134,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,France,Da Cunha Daniel,Medium
10145,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,USA,Young Julie,Medium
10168,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA,Hirano Juri,Medium
10180,Daedalus Designs Imports,"184, chausse de Tournai",Lille,France,Rance Martine,Small
10188,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,Norway,Oeztan Veysel,Medium
10211,Auto Canal Petit,"25, rue Lauriston",Paris,France,Perrier Dominique,Medium
10223,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson Peter,Medium
10237,Vitachrome Inc.,2678 Kingston Rd.,NYC,USA,Frick Michael,Small
10251,Tekni Collectables Inc.,7476 Moss Rd.,Newark,USA,Brown William,Medium
10263,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,USA,King Julie,Medium
10275,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune Janine,Medium
10285,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,USA,Hernandez Marta,Medium
10299,"Toys of Finland, Co.",Keskuskatu 45,Helsinki,Finland,Karttunen Matti,Small
10309,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway,Bergulfsen Jonas,Medium
10318,Diecast Classics Inc.,7586 Pompton St.,Allentown,USA,Yu Kyung,Medium
10329,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu Kwai,Medium
10341,Salzburg Collectables,Geislweg 14,Salzburg,Austria,Pipps Georg,Large
10361,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley Adrian,Small
10375,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune Janine,Small
10388,FunGiftIdeas.com,1785 First Street,New Bedford,USA,Benitez Violeta,Medium
10403,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery,Liverpool,UK,Devon Elizabeth,Small
10417,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Large
10103,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway,Bergulfsen Jonas,Medium
10112,"Volvo Model Replicas, Co",BerguvsvÂ„gen  8,Lule,Sweden,Berglund Christina,Large
10126,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,Spain,Sommer MartÂ¡n,Large
10140,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA,Hirano Juri,Large
10150,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad Eric,Large
10163,Classic Legends Inc.,5905 Pompton St.,NYC,USA,Hernandez Maria,Medium
10174,"Australian Gift Network, Co",31 Duncan St. West End,South Brisbane,Australia,Calaghan Tony,Large
10183,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,USA,Cervantes Francisca,Medium
10194,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,France,Saveley Mary,Large
10206,Canadian Gift Exchange Network,1900 Oak St.,Vancouver,Canada,Tannamuri Yoshi,Large
10215,West Coast Collectables Co.,3675 Furth Circle,Burbank,USA,Thompson Steve,Medium
10228,Cambridge Collectables Co.,4658 Baden Av.,Cambridge,USA,Tseng Kyung,Medium
10245,Super Scale Inc.,567 North Pendale Street,New Haven,USA,Murphy Leslie,Medium
10258,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Japan,Shimamura Akiko,Large
10270,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley Adrian,Medium
10280,Amica Models & Co.,Via Monte Bianco 34,Torino,Italy,Accorti Paolo,Large
10291,Scandinavian Gift Ideas,?kergatan 24,Boras,Sweden,Larsson Maria,Large
10304,Auto Assoc. & Cie.,"67, avenue de l'Europe",Versailles,France,Tonini Daniel,Large
10312,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Large
10322,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,USA,Young Valarie,Medium
10347,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson Peter,Medium
10357,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson Valarie,Medium
10369,Collectables For Less Inc.,7825 Douglas Av.,Brickhaven,USA,Nelson Allen,Medium
10391,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia,O'Hara Anna,Small
10411,Quebec Home Shopping Network,43 rue St. Laurent,Montreal,Canada,Fresnisre Jean,Medium
10424,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Large
10107,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu Kwai,Medium
10120,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson Peter,Small
10134,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,France,Da Cunha Daniel,Medium
10145,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,USA,Young Julie,Medium
10168,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA,Hirano Juri,Medium
10180,Daedalus Designs Imports,"184, chausse de Tournai",Lille,France,Rance Martine,Medium
10188,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,Norway,Oeztan Veysel,Medium
10210,Osaka Souveniers Co.,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Japan,Kentary Mory,Medium
10223,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson Peter,Medium
10236,Motor Mint Distributors Inc.,11328 Douglas Av.,Philadelphia,USA,Hernandez Rosa,Small
10251,Tekni Collectables Inc.,7476 Moss Rd.,Newark,USA,Brown William,Medium
10263,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,USA,King Julie,Medium
10275,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune Janine,Small
10285,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,USA,Hernandez Marta,Medium
10298,Atelier graphique,"54, rue Royale",Nantes,France,Schmitt Carine,Medium
10308,Mini Classics,3758 North Pendale Street,White Plains,USA,Frick Steve,Medium
10318,Diecast Classics Inc.,7586 Pompton St.,Allentown,USA,Yu Kyung,Medium
10329,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu Kwai,Medium
10339,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Japan,Shimamura Akiko,Small
10361,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley Adrian,Small
10374,"Australian Gift Network, Co",31 Duncan St. West End,South Brisbane,Australia,Calaghan Tony,Medium
10388,FunGiftIdeas.com,1785 First Street,New Bedford,USA,Benitez Violeta,Small
10402,Auto Canal Petit,"25, rue Lauriston",Paris,France,Perrier Dominique,Medium
10417,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Medium
10107,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu Kwai,Medium
10120,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson Peter,Large
10134,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,France,Da Cunha Daniel,Large
10145,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,USA,Young Julie,Medium
10168,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA,Hirano Juri,Medium
10180,Daedalus Designs Imports,"184, chausse de Tournai",Lille,France,Rance Martine,Large
10188,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,Norway,Oeztan Veysel,Large
10210,Osaka Souveniers Co.,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Japan,Kentary Mory,Medium
10223,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson Peter,Large
10237,Vitachrome Inc.,2678 Kingston Rd.,NYC,USA,Frick Michael,Large
10251,Tekni Collectables Inc.,7476 Moss Rd.,Newark,USA,Brown William,Large
10263,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,USA,King Julie,Large
10275,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune Janine,Medium
10285,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,USA,Hernandez Marta,Medium
10299,"Toys of Finland, Co.",Keskuskatu 45,Helsinki,Finland,Karttunen Matti,Medium
10308,Mini Classics,3758 North Pendale Street,White Plains,USA,Frick Steve,Medium
10318,Diecast Classics Inc.,7586 Pompton St.,Allentown,USA,Yu Kyung,Large
10329,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu Kwai,Medium
10339,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Japan,Shimamura Akiko,Small
10362,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA,Hirano Juri,Medium
10374,"Australian Gift Network, Co",31 Duncan St. West End,South Brisbane,Australia,Calaghan Tony,Medium
10388,FunGiftIdeas.com,1785 First Street,New Bedford,USA,Benitez Violeta,Small
10403,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery,Liverpool,UK,Devon Elizabeth,Large
10417,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre Diego,Large
10105,Danish Wholesale Imports,Vinb'ltet 34,Kobenhavn,Denmark,Petersen Jytte,Large
10119,Salzburg Collectables,Geislweg 14,Salzburg,Austria,Pipps Georg,Medium
10129,"Stylish Desk Decors, Co.",35 King George,London,UK,Brown Ann,Medium
