order_number,quantity_ordered,price_each,order_line_number,sales,order_date,days_since_last_order,status,product_line,man_suggested_retail_price,product_code 
10107,30,95.7,2,2871,2018-02-24,828,Shipped,Motorcycles,95,S10_1678
10121,34,81.35,5,2765.9,2018-05-07,757,Shipped,Motorcycles,95,S10_1678
10134,41,94.74,2,3884.34,2018-07-01,703,Shipped,Motorcycles,95,S10_1678
10145,45,83.26,6,3746.7,2018-08-25,649,Shipped,Motorcycles,95,S10_1678
10168,36,96.66,1,3479.76,2018-10-28,586,Shipped,Motorcycles,95,S10_1678
10180,29,86.13,9,2497.77,2018-11-11,573,Shipped,Motorcycles,95,S10_1678
10188,48,114.84,1,5512.32,2018-11-18,567,Shipped,Motorcycles,95,S10_1678
10211,41,114.84,14,4708.44,2019-01-15,510,Shipped,Motorcycles,95,S10_1678
10223,37,107.18,1,3965.66,2019-02-20,475,Shipped,Motorcycles,95,S10_1678
10237,23,101.44,7,2333.12,2019-04-05,432,Shipped,Motorcycles,95,S10_1678
10251,28,113.88,2,3188.64,2019-05-18,390,Shipped,Motorcycles,95,S10_1678
10263,34,108.14,2,3676.76,2019-06-28,350,Shipped,Motorcycles,95,S10_1678
10275,45,92.83,1,4177.35,2019-07-23,326,Shipped,Motorcycles,95,S10_1678
10285,36,113.88,6,4099.68,2019-08-27,292,Shipped,Motorcycles,95,S10_1678
10299,23,112.93,9,2597.39,2019-09-30,259,Shipped,Motorcycles,95,S10_1678
10309,41,107.18,5,4394.38,2019-10-15,245,Shipped,Motorcycles,95,S10_1678
10318,46,94.74,1,4358.04,2019-11-02,228,Shipped,Motorcycles,95,S10_1678
10329,42,104.67,1,4396.14,2019-11-15,216,Shipped,Motorcycles,95,S10_1678
10341,41,188.73,9,7737.93,2019-11-24,208,Shipped,Motorcycles,95,S10_1678
10361,20,72.55,13,1451,2019-12-17,186,Shipped,Motorcycles,95,S10_1678
10375,21,34.91,12,733.11,2020-02-03,139,Shipped,Motorcycles,95,S10_1678
10388,42,76.36,4,3207.12,2020-03-03,111,Shipped,Motorcycles,95,S10_1678
10403,24,101.44,7,2434.56,2020-04-08,76,Shipped,Motorcycles,95,S10_1678
10417,66,113.88,2,7516.08,2020-05-13,42,Disputed,Motorcycles,95,S10_1678
10103,26,207.87,11,5404.62,2018-01-29,878,Shipped,Classic Cars,214,S10_1949
10112,29,248.59,1,7209.11,2018-03-24,825,Shipped,Classic Cars,214,S10_1949
10126,38,192.87,11,7329.06,2018-05-28,761,Shipped,Classic Cars,214,S10_1949
10140,37,199.3,11,7374.1,2018-07-24,705,Shipped,Classic Cars,214,S10_1949
10150,45,244.3,8,10993.5,2018-09-19,649,Shipped,Classic Cars,214,S10_1949
10163,21,231.44,1,4860.24,2018-10-20,619,Shipped,Classic Cars,214,S10_1949
10174,34,235.73,4,8014.82,2018-11-06,603,Shipped,Classic Cars,214,S10_1949
10183,23,233.59,8,5372.57,2018-11-13,597,Shipped,Classic Cars,214,S10_1949
10194,42,173.58,11,7290.36,2018-11-25,586,Shipped,Classic Cars,214,S10_1949
10206,47,192.87,6,9064.89,2018-12-05,577,Shipped,Classic Cars,214,S10_1949
10215,35,173.58,3,6075.3,2019-01-29,523,Shipped,Classic Cars,214,S10_1949
10228,29,222.87,2,6463.23,2019-03-10,484,Shipped,Classic Cars,214,S10_1949
10245,34,180.01,9,6120.34,2019-05-04,430,Shipped,Classic Cars,214,S10_1949
10258,32,240.02,6,7680.64,2019-06-15,389,Shipped,Classic Cars,214,S10_1949
10270,21,233.59,9,4905.39,2019-07-19,356,Shipped,Classic Cars,214,S10_1949
10280,34,235.73,2,8014.82,2019-08-17,328,Shipped,Classic Cars,214,S10_1949
